"lugar","tipo_danio","entrecalles","colonia","calle","numero","resumen","proceso","atrapados","lesionados","fallecidos","rescatados","institucionResponsableGobiernoCDMX","EntidadGubernamental","googlemaps","longitud","latitud","entidad","tiporeporte","actualizacion"
,"Derrumbe","viaducto y torreon","Piedad Narvarte","sin informacion","sin informacion","Edificio 4 pisos trabajos conmaquinaria liviana para el rescate de personas","Conclusion de trabajos","sin informacion","sin informacion","sin informacion","sin informacion","SEDESO","MARINA","https://www.google.com.mx/maps/@19.4022986,-99.1617407,3a,75y,110.46h,90t/data=!3m7!1e1!3m5!1s8GOXnmYdjYNscmUu3uwN_Q!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D8GOXnmYdjYNscmUu3uwN_Q%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D111.577126%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",-99.162,19.402,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","san luis y medellin","Roma Norte","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion",2,2,"SEDUVI","MARINA/SEDENA","https://www.google.com.mx/maps/place/San+Luis+Potos%C3%AD,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4139514,-99.1627023,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff3ec48ab427:0x5407042bf512e5d7!8m2!3d19.4139514!4d-99.1605136",-99.163,19.414,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","Puebla y Salamanca","Roma Norte","Puebla",282,"2 niveles","sin informacion","sin informacion",1,16,,"OFICIALÍA MAYOR","MARINA/SEDENA","https://www.google.com.mx/maps/place/Puebla+282,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4210929,-99.1712992,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff4814d6ddc7:0x8bfb4e0493ab434e!8m2!3d19.4210929!4d-99.1691105?hl=es-419",-99.171,19.421,"cdmx","proteccion civil","23-sept (14:00)"
"barda","Derrumbe","santa ana y ejido santa cruz","Culhucan","sin informacion","sin informacion","Inmueble de 2 pisos en proceso de demolición","Conclusion de trabajos",0,0,4,0,"SSP","SEDENA","https://www.google.com.mx/maps/place/Avenida+Santa+Ana+%26+Ejido+Santa+Cruz+Atoyac,+Ex-Ejido+de+San+Francisco+Culhuacan,+04470+Ciudad+de+M%C3%A9xico,+CDMX/@19.3294365,-99.1271179,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce01dd14df71db:0x804641297b0bf96a!8m2!3d19.3294365!4d-99.1249292?hl=es-419",-99.127,19.329,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","insurgentes y vicente guerrero","san gregorio atlapulco","sin informacion","sin informacion","sin informacion","sin informacion",0,0,3,0,"GOBIERNO","MARINA/SEDENA","https://www.google.com.mx/maps/search/19.2538940,+-99.0592120?sa=X&ved=0ahUKEwjR9KWMgrTWAhVBRSYKHVnPBJ0Q8gEIJjAA",-99.059212,19.253894,"cdmx","proteccion civil","23-sept (14:00)"
"residencial ","Derrumbe","peten y zapata","santa cruz atoyac","Peten",915,"sin informacion","sin informacion",1,6,3,"sin informacion","SEDESO","SEDENA","https://www.google.com.mx/maps/dir/Gral.+Emiliano+Zapata,+Ciudad+de+M%C3%A9xico,+CDMX/Pet%C3%A9n,+Sta+Cruz+Atoyac,+Ciudad+de+M%C3%A9xico,+CDMX/@19.3660835,-99.1564552,17z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x85d1ffb41d1800c5:0x24d6d30a6601b059!2m2!1d-99.1514871!2d19.3657329!1m5!1m1!1s0x85d1ffb9e32f43c1:0x8afe59f9983eb70b!2m2!1d-99.157046!2d19.3657417?hl=es-419",-99.157,19.367,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","chimalpopoca y simon bolivar","tránsito","sin informacion","sin informacion","Edificio 5 pisos fabrica textil trabajos con maquinaria liviana para el rescate de personas","sin informacion","sin informacion",3,10,"sin informacion","FINANZAS","SEDENA","https://www.google.com.mx/maps/place/Calle+Bolivar+%26+Chimalpopoca,+Obrera,+06080+Ciudad+de+M%C3%A9xico,+CDMX/@19.4226565,-99.1429626,16.46z/data=!4m5!3m4!1s0x85d1fed74cbde319:0x2c8af240b6ab9ebb!8m2!3d19.4222791!4d-99.1400507?hl=es-419",-99.14,19.422,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","Álvaro Obregón y Huichapan","Roma Norte","Álvaro Obregón",286,"Edificio 6 pisos",,0,19,4,10,"SEMOVI","MARINA/SEDENA","https://www.google.com.mx/maps/place/Av.+%C3%81lvaro+Obreg%C3%B3n+286,+Hip%C3%B3dromo,+06100+Ciudad+de+M%C3%A9xico,+CDMX/@19.4161567,-99.1687624,19.33z/data=!4m5!3m4!1s0x85d1ff477a58a977:0x2bfab1fa2e4dae1a!8m2!3d19.4162314!4d-99.1683963",-99.168,19.416,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Galicia y Niños Héroes ","Niños heroes","sin informacion","sin informacion","sin informacion","Conclusion de trabajos","sin informacion","sin informacion",5,,"SEDESO","SEDENA","https://www.google.com.mx/maps/place/Av.+Ni%C3%B1os+Heroes+de+Chapultepec+%26+Calle+Galicia,+Ni%C3%B1os+H%C3%A9roes,+03440+Ciudad+de+M%C3%A9xico,+CDMX/@19.3877398,-99.1484456,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff002537e27f:0x9d41e35f1e33ea31!8m2!3d19.3877398!4d-99.1462569?hl=es-419",-99.148,19.388,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Sierravista y Coquimbo","Lindavista","sin informacion","sin informacion","3 edificios en el lugar, 1 colapsado de 7 pisos, evacuados los 3","sin informacion","sin informacion","sin informacion",1,3,"DIF","SEDENA","https://www.google.com.mx/maps/search/19.493146,+-99.123306?sa=X&ved=0ahUKEwj_zKryjLPWAhVI8IMKHdB_Bk8Q8gEIJjAA",-99.123306,19.493146,"CDMX","proteccion civil","23-sept (14:00)"
,"derrumbe","Calzada Taxqueña y Av de las Torres","Campestre Churubusco","sin informacion","sin informacion","sin informacion","Conclusion de trabajos","sin informacion",2,,"sin informacion","SEDESO","MARINA/SEDENA","https://www.google.com.mx/maps/search/19.341583,+-99.14137?sa=X&ved=0ahUKEwjZjfaSkLPWAhUh0YMKHSFHAPwQ8gEIJjAA",-99.14137,19.341583,"CDMX","proteccion civil","23-sept (14:00)"
,"derrumbe","Coahuila y San Luis Potosí","Roma Norte","coahuila",10,"2 niveles","sin informacion","sin informacion",2,"sin informacion","sin informacion","SSP","MARINA/SEDENA","https://www.google.com.mx/maps/search/19.412643,+-99.155275?sa=X&ved=0ahUKEwiO5ojqkbPWAhVj94MKHfvkD2EQ8gEIJjAA",-99.155275,19.412643,"CDMX","proteccion civil","23-sept (14:00)"
,"derrumbe","Zapata y Tlalpan","Portales","sin informacion","sin informacion","Conclusion de trabajos","sin informacion","sin informacion","sin informacion","sin informacion",2,"SSP","SEDENA","https://www.google.com.mx/maps/search/19.414592,+-99.156443?sa=X&ved=0ahUKEwiU8OTQgrTWAhUC1CYKHYkJD64Q8gEIJjAA",-99.156443,19.414592,"CDMX","proteccion civil","23-sept (14:00)"
